EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,Division,DOB,State,JobFunctionDescription,LocationCode,MaritalDesc,Performance Score,Current Employee Rating,Age,Seniority,Engagement_Score,Satisfaction_Score,WorkLife_Score,Survey_Count,Training_Count,Training_Pass_Rate,Total_Training_Cost,Avg_Training_Days,Is_Active,Employment_Duration,Start_Year,Start_Month,Start_Quarter,Age_Band,Engagement_Composite,Performance_Num,Attrition_Risk_Flag,Training_Cost_Per_Day,Low_Training_Flag,PayZone_Num,GenderCode_Female,GenderCode_Male,RaceDesc_Asian,RaceDesc_Black,RaceDesc_Hispanic,RaceDesc_Other,RaceDesc_White,DepartmentType_Admin Offices,DepartmentType_Executive Office,DepartmentType_IT/IS,DepartmentType_Production       ,DepartmentType_Sales,DepartmentType_Software Engineering,EmployeeType_Contract,EmployeeType_Full-Time,EmployeeType_Part-Time,Generation_Boomer,Generation_Gen X,Generation_Gen Z,Generation_Millennial,Hiring_Season_Fall,Hiring_Season_Spring,Hiring_Season_Summer,Hiring_Season_Winter,Age_scaled,Seniority_scaled,Employment_Duration_scaled,Engagement_Composite_scaled,Training_Count_scaled,Total_Training_Cost_scaled,Training_Pass_Rate_scaled,IF_Score,IF_Anomaly,IF_Raw_Score,DBSCAN_Label,DBSCAN_Anomaly,Anomaly_Score,High_Risk_Anomaly,Gender,Race,High_Perf,Training_Success,Attrition
3427,Uriah,Bridges,2019-09-20,,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,ZONE C,Temporary,Unk,Still Employed,Finance & Accounting,1969-10-07,MA,Accounting,34904,Widowed,Fully Meets,4,56.4,6.5,1.0,2.0,3.0,1,1,0.0,606.11,2.0,True,6.5,2019,9,3,50-60,1.85,3,0,303.06,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.1061205203027635,0.9485801546976784,1.4624010159974634,-1.361095587843879,0.0,0.1804180314790673,-0.5717049309608219,1,0,0.1358953795449899,0,0,0,0,Female,White,0,0,0
3428,Paula,Small,2023-02-11,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,ZONE A,Part-Time,Unk,Still Employed,Aerial,1965-08-30,MA,Labor,6593,Widowed,Fully Meets,3,60.6,3.1,2.0,1.0,5.0,1,1,0.0,673.02,4.0,True,3.1,2023,2,1,60+,2.4,3,0,168.26,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.3435982852996242,-1.4040720793917825,-0.0317372546788959,-0.6990938722865677,0.0,0.4346606414916201,-0.5717049309608219,1,0,0.1429934945786349,0,0,0,0,Male,Hispanic,0,0,0
3429,Edward,Buck,2018-12-10,,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,ZONE B,Part-Time,Unk,Still Employed,General - Sga,1991-10-06,MA,Assistant,2330,Widowed,Fully Meets,4,34.5,7.3,1.0,2.0,1.0,1,1,0.0,413.28,2.0,True,7.27,2018,12,4,30-40,1.35,3,0,206.64,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,-1.132156397180866,1.5021453862481398,1.8007793890624038,-1.9629153292596169,0.0,-0.5522916156397576,-0.5717049309608219,1,0,0.0964969792688975,0,0,0,0,Male,Hispanic,0,0,0
3430,Michael,Riordan,2021-06-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,ZONE A,Full-Time,Unk,Still Employed,Finance & Accounting,1998-04-04,ND,Clerk,58782,Single,Fully Meets,2,28.0,4.7,5.0,5.0,4.0,1,1,0.0,663.78,3.0,True,4.74,2021,6,2,<30,4.75,3,0,221.26,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,-1.4996815096760074,-0.2969416162908596,0.6889647347061716,2.1294589123673995,0.0,0.3995507667865537,-0.5717049309608219,1,0,0.0750122220408207,0,0,0,0,Male,Other,0,0,0
3431,Jasmine,Onque,2019-06-29,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,ZONE A,Temporary,Unk,Still Employed,General - Con,1969-08-29,FL,Laborer,33174,Married,Fully Meets,3,56.6,6.7,2.0,5.0,3.0,1,1,0.0,399.03,5.0,True,6.72,2019,6,2,50-60,3.3,3,0,79.81,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.1174289853026142,1.086971462585294,1.5590805511588748,0.3841816622617601,0.0,-0.6064383379933501,-0.5717049309608219,1,0,0.1575161005567781,0,0,0,0,Female,Other,0,0,0
3432,Maruk,Fraval,2020-01-17,,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,ZONE B,Full-Time,Unk,Still Employed,Field Operations,1949-04-03,CT,Driver,6050,Married,Fully Meets,3,77.0,6.2,2.0,3.0,5.0,1,1,1.0,820.33,2.0,True,6.17,2020,1,1,60+,3.1,3,0,410.16,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1.2708924152873653,0.7409931928662555,1.3173817132553465,0.1434537656954653,0.0,0.9944047586781268,1.7491540580546934,1,0,0.0689298245131502,1,0,0,0,Male,Black,0,1,0
3433,Latia,Costa,2022-04-06,2023-07-03,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,ZONE B,Temporary,Involuntary,Me see picture nature degree benefit.,General - Eng,1942-07-01,CA,Technician,90007,Divorced,Exceeds,4,83.7,4.0,1.0,5.0,2.0,1,1,1.0,295.08,5.0,False,1.24,2022,4,2,60+,2.65,4,0,59.02,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1.649725992782357,-0.7813111938975134,-0.849118779225375,-0.3981840015786988,0.0,-1.0014244284253462,1.7491540580546934,-1,1,-0.0123298823044671,1,0,1,0,Female,Hispanic,1,1,1
3434,Sharlene,Terry,2020-11-06,2023-01-29,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,ZONE C,Full-Time,Involuntary,Blue community type skill story.,Engineers,1957-03-07,OR,Engineer,97756,Divorced,Fully Meets,2,69.0,5.4,1.0,4.0,2.0,1,1,1.0,790.15,3.0,False,2.23,2020,11,4,60+,2.3,3,0,263.38,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0.8185538152933451,0.1874279613157942,-0.4140608709990233,-0.8194578205697154,0.0,0.8797277003882022,1.7491540580546934,1,0,0.0969609895837587,1,0,0,0,Female,White,0,1,1
3435,Jac,McKinzie,2018-08-18,,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,ZONE B,Part-Time,Unk,Still Employed,Executive,1974-05-15,TX,Executive Assistant,78789,Widowed,Exceeds,3,51.8,7.6,4.0,3.0,3.0,1,1,1.0,798.4,3.0,True,7.59,2018,8,3,50-60,3.4,4,0,266.13,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,-0.153974174693798,1.7097323480795623,1.9414041674790024,0.5045456105449078,0.0,0.91107580280344,1.7491540580546934,-1,1,-0.0036345652857607,1,0,1,0,Male,Black,1,1,0
3436,Joseph,Martins,2022-01-21,2023-06-29,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,ZONE B,Temporary,Resignation,Summer personal bag.,Engineers,1949-11-11,TX,Engineer,78207,Widowed,Fully Meets,5,76.4,4.2,5.0,5.0,2.0,1,1,0.0,192.61,5.0,False,1.43,2022,1,1,60+,4.25,3,0,38.52,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1.236967020287814,-0.6429198860098979,-0.7656228170405197,1.527639170951662,0.0,-1.3907868592725483,-0.5717049309608219,1,0,0.0942530695097337,0,0,0,0,Male,Asian,0,0,1
